カテゴリ,項目,習得度
調剤室業務,処方箋の停滞しているときは適時応援し、調剤室全体の円滑なる運営に協力する,1
調剤室業務,平日1日の流れを説明できる,1
調剤室業務,各診療科ごとに定期処方の開始日が設けられていることを理解している,3
調剤室業務,定期処方の締め切り時間は、前日8時であることを理解している,3
調剤室業務,院内処方せんに記載されている記号★◆の意味が分かる,1
調剤室業務,院内処方せんに記載されている記号◎〇×の意味が分かる,5
調剤室業務,院内処方せんに記載されている記号【＊】【○】半の意味が分かる,5
調剤室業務,院内処方せんに記載されている記号【粉砕】★秤量★「ハイリスク」の意味が分かる,3
調剤室業務,院内処方せんに記載されている記号M・！・P・S・Hの意味が分かる,1
調剤室業務,検査値からわかる禁忌を判断できる,1
調剤室業務,検査値からわかる投与量変更を判断できる,1
調剤室業務,小児薬用量を判断できる,1
調剤室業務,一部の病名（糖尿病・喘息・緑内障など）禁忌を判断できる,1
調剤室業務,チェックボックス □ は、該当する物をすべて（1個～複数）をチェックすることができる,2
調剤室業務,処方箋上の表記（医薬品名、併用薬、用法、用量、投与日数、年齢、性別など）が適切であるか確認できる,1
調剤室業務,処方箋上に↑↓が表示されている場合、用量に特に注意して確認できる,2
調剤室業務,「初」の場合、特に注意し、確認事項（禁忌なし・併用禁忌なし等）を確認できる,2
調剤室業務,内服抗がん剤が処方された場合、休薬期間の確認ができる,1
調剤室業務,「★秤量★」が表示されている場合でも、分包品がある薬剤があることを理解している,1
調剤室業務,外来にて特殊な事情で院内処方を希望する場合は、院内処方許可申請書の提出が必要であることを理解している,3
調剤室業務,当院透析中のエベレンゾ、ダーブロックは外来院内処方可であることを理解している,1
調剤室業務,不明な点があれば疑義照会を行うことができる,1
調剤室業務,疑義照会をする際、処方医が外来中でないか確認できる,2
調剤室業務,疑義照会をしたいが、処方医が外来中・所在不明・不在の場合の対応がわかる,1
調剤室業務,疑義照会後、疑義照会システムに照会内容、結果を登録することができる,2
調剤室業務,必要な場合、特記コメントを入力することができる,1
調剤室業務,特記コメントを確認し、適切であるかチェックできる,1
調剤室業務,疑義照会なしで修正可能な項目があることを理解している,2
調剤室業務,入院処方の修正の方法がわかる,1
調剤室業務,入院処方の削除の方法がわかる,2
調剤室業務,医薬品返却報告書の運用がわかる,5
調剤室業務,外来「院内」処方の修正の方法がわかる,1
調剤室業務,外来「院内」処方の削除の方法がわかる,1
調剤室業務,外来「院外」処方の修正の方法がわかる,1
調剤室業務,外来「院外」処方の削除の方法がわかる,1
調剤室業務,院外処方箋における疑義照会事前同意に基づく処方修正報告書の運用がわかる,1
調剤室業務,研修医の処方の修正・削除の方法がわかる,1
調剤室業務,修正前の一包化を含むデータは、処方修正した者がXana画面から削除することを理解している,3
調剤室業務,計数調剤ができる,5
調剤室業務,散剤や外用剤の予製品があることを知っている,5
調剤室業務,軟膏の小分け調剤ができる,5
調剤室業務,軟膏の混合調剤ができる,5
調剤室業務,分割使用可能な貼付剤があることを理解している,1
調剤室業務,レスピマットの払い出し方法がわかる,1
調剤室業務,PDAを用いた調剤棚への薬品補充および返却方法がわかる,1
調剤室業務,散剤の計量調剤ができる,4
調剤室業務,散剤を混和する場合は、乳棒・乳鉢を適切に扱える,4
調剤室業務,散剤分包機での重ねまきの方法がわかる,4
調剤室業務,散剤の用法に応じた1日あたりの基準量がわかる,1
調剤室業務,散剤にて、デンプン賦形をするもの、混合・賦形を行わない、内用液剤とするものがあることを知っている,1
調剤室業務,散剤にて、主薬が0.1g未満の場合の調剤方法がわかる,1
調剤室業務,散剤分包機の洗い方法が、薬品に応じて違うことを知っている,1
調剤室業務,経腸栄養剤のフレーバーは、フレーバー請求用紙または手書き処方箋で対応することをしっている,1
調剤室業務,錠剤の粉砕や脱カプセルでの調剤方法がわかる,2
調剤室業務,鑑査システムのローカルモード・リモートモードを使い分けられる,2
調剤室業務,水剤の計量調剤ができる,4
調剤室業務,水剤にて、適切な投薬瓶を選択できる,4
調剤室業務,水剤にて、投薬瓶の適切な色の蓋を選択できる,5
調剤室業務,水剤の調剤後、適切な計量器を添付できる,2
調剤室業務,トリクロリールシロップの調剤ができる,1
調剤室業務,インクレミンシロップの調剤ができる,4
調剤室業務,ファンギゾンシロップの調剤ができる,4
調剤室業務,薬品瓶を開封した場合は、開封年月日を薬品瓶に記載できる,5
調剤室業務,生理食塩水と精製水の開封後の使用期限がわかる,5
調剤室業務,「水剤が足りない」と病棟から連絡を受けた場合の対応がわかる,1
調剤室業務,水剤の使用期限を適切に記載できる,2
調剤室業務,水剤調製後、遮光が必要な薬剤があることを知っている,1
調剤室業務,救急外来でボスミン液（原液）の小分けを請求された場合の対応がわかる,1
調剤室業務,Xanaの使用方法がわかる,5
